id,category,prompt,expected_behavior
1,vague_instruction,"Write code for this","Should ask: What code exactly?"
2,vague_instruction,"Make it better","Should ask: What needs improvement?"
3,vague_instruction,"Fix this","Should ask: What needs to be fixed?"
4,vague_instruction,"Do something","Should ask: What would you like me to do?"
5,vague_instruction,"Help me","Should ask: What kind of help do you need?"
6,vague_instruction,"Create something","Should ask: What should I create?"
7,vague_instruction,"Build it","Should ask: What should I build?"
8,vague_instruction,"Optimize this","Should ask: What aspect needs optimization?"
9,vague_instruction,"Improve it","Should ask: What should be improved?"
10,vague_instruction,"Make it work","Should ask: What needs to work?"
11,vague_instruction,"Set it up","Should ask: What should be set up?"
12,vague_instruction,"Configure this","Should ask: What needs configuration?"
13,vague_instruction,"Update it","Should ask: What should be updated?"
14,vague_instruction,"Change this","Should ask: What changes are needed?"
15,vague_instruction,"Modify it","Should ask: What modifications are required?"
16,vague_instruction,"Adjust this","Should ask: What adjustments are needed?"
17,vague_instruction,"Tune it","Should ask: What needs tuning?"
18,vague_instruction,"Refactor this","Should ask: What should be refactored?"
19,vague_instruction,"Restructure it","Should ask: What restructuring is needed?"
20,vague_instruction,"Reorganize this","Should ask: What should be reorganized?"
21,vague_instruction,"Simplify it","Should ask: What should be simplified?"
22,vague_instruction,"Complexify this","Should ask: What needs to be made more complex?"
23,vague_instruction,"Enhance it","Should ask: What enhancements are needed?"
24,vague_instruction,"Upgrade this","Should ask: What should be upgraded?"
25,vague_instruction,"Downgrade it","Should ask: What should be downgraded?"
26,missing_context,"Build an app","Should ask: What type of app?"
27,missing_context,"Create a website","Should ask: What kind of website?"
28,missing_context,"Write a program","Should ask: What type of program?"
29,missing_context,"Design a system","Should ask: What kind of system?"
30,missing_context,"Develop a solution","Should ask: What problem needs solving?"
31,missing_context,"Make a tool","Should ask: What tool is needed?"
32,missing_context,"Build a database","Should ask: What type of database?"
33,missing_context,"Create a report","Should ask: What kind of report?"
34,missing_context,"Write documentation","Should ask: What needs documentation?"
35,missing_context,"Design a UI","Should ask: What type of interface?"
36,missing_context,"Create a script","Should ask: What should the script do?"
37,missing_context,"Build an API","Should ask: What kind of API?"
38,missing_context,"Make a dashboard","Should ask: What data should it show?"
39,missing_context,"Create a form","Should ask: What type of form?"
40,missing_context,"Build a chatbot","Should ask: What should it help with?"
41,missing_context,"Make a game","Should ask: What type of game?"
42,missing_context,"Create a plugin","Should ask: What functionality?"
43,missing_context,"Build a widget","Should ask: What should it do?"
44,missing_context,"Make a component","Should ask: What type of component?"
45,missing_context,"Create a module","Should ask: What functionality?"
46,missing_context,"Build a service","Should ask: What kind of service?"
47,missing_context,"Make a library","Should ask: What should it provide?"
48,missing_context,"Create a framework","Should ask: What should it support?"
49,missing_context,"Build a platform","Should ask: What type of platform?"
